Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_EMA(C,9)","Exit_EMA(C,9)","Entry_EMA(C,21)","Exit_EMA(C,21)","Entry_ATR(H,L,C,3)","Exit_ATR(H,L,C,3)"
4,123,124,182.85,193.6,153.89218652187,,43.0,0.058791359037462465,2005-02-14,2005-02-15,1 days,,193.44922454562186,193.8053796364975,193.5026849096077,193.6597135541888,9.372570243365372,8.531713495576913
-2,124,125,193.6,194.7,226.49781347813,,-2.1999999999999886,-0.005681818181818121,2005-02-15,2005-02-16,1 days,,193.8053796364975,194.726303709198,193.6597135541888,194.0915577765353,8.531713495576913,7.3644756637179425
1,126,131,197.83,189.15,161.58762168141027,,-8.680000000000007,-0.04387605519890814,2005-02-17,2005-02-25,8 days,,195.3610429673584,192.050258559544,194.43777979685026,193.17229666183403,5.8896504424786285,6.696291416293484
2,129,131,193.3,189.15,154.5476216814103,,-8.300000000000011,-0.02146921883083297,2005-02-23,2005-02-25,2 days,,194.7716539992875,192.050258559544,194.40377896081915,193.17229666183403,5.899155686660339,6.696291416293484
4,130,131,183.37,189.15,157.1276216814103,,23.120000000000005,0.03152096853356601,2005-02-24,2005-02-25,1 days,,193.59532319943,192.050258559544,193.90252632801742,193.17229666183403,7.839437124440226,6.696291416293484
-1,132,158,186.0,189.24,219.35145708146743,,-3.240000000000009,-0.017419354838709822,2005-02-28,2005-04-06,37 days,,191.2382068476352,183.93583625517317,192.7011787834855,183.1635469510687,5.8041942775289925,3.603513636048716
-2,133,158,189.29,189.24,221.47145708146743,,0.0999999999999659,0.00026414496275550814,2005-03-01,2005-04-06,36 days,,190.20256547810817,183.93583625517317,192.09743525771407,183.1635469510687,6.452796185019328,3.603513636048716
-4,138,158,189.1,189.24,222.29145708146743,,-0.5600000000000591,-0.000740349021681741,2005-03-08,2005-04-06,29 days,,187.69014625586647,183.93583625517317,189.95608736221075,183.1635469510687,4.179298263047808,3.603513636048716
1,159,240,188.78,291.6,171.2024318197564,,102.82000000000002,0.5446551541476852,2005-04-07,2005-08-02,117 days,,185.90066900413854,296.41987010879114,184.1268608646079,296.1046124679753,4.395675757365816,6.757018126802504
2,166,240,184.58,291.6,166.9824318197564,,214.04000000000002,0.5798027955358112,2005-04-18,2005-08-02,106 days,,188.86350350033672,296.41987010879114,187.13994421335343,296.1046124679753,4.871338133032838,6.757018126802504
4,167,240,189.33,291.6,168.9524318197564,,409.08000000000004,0.5401679607035335,2005-04-19,2005-08-02,105 days,,189.3708028002694,296.41987010879114,187.52722201213948,296.1046124679753,4.924225422021892,6.757018126802504
-2,240,241,291.6,298.0,309.6275681802436,,-12.799999999999955,-0.021947873799725626,2005-08-02,2005-08-03,1 days,,296.41987010879114,296.59589608703294,296.1046124679753,296.2132840617957,6.757018126802504,5.878012084535004
1,242,244,295.55,293.6,267.90993957732496,,-1.9499999999999886,-0.0065978683809845284,2005-08-04,2005-08-08,4 days,,296.82271686962633,294.99253879656084,296.3511673289052,295.55674985859935,5.168674723023336,5.617188765788136
-1,245,266,291.96,294.83,319.3359438289407,,-2.8700000000000045,-0.009830113714207389,2005-08-09,2005-09-08,30 days,,294.30803103724867,289.30603053730914,295.1943180532721,288.0318194242898,5.134792510525429,5.768317986421143
1,267,292,297.28,299.9,266.5484100678943,,2.6200000000000045,0.008813240043057169,2005-09-09,2005-10-14,35 days,,291.2628244298473,304.42407477770746,289.03710856753617,305.65231690037507,5.082211990947441,8.290596919667985
-2,292,297,299.9,345.8,326.2815899321057,,-91.80000000000007,-0.1530510170056687,2005-10-14,2005-10-21,7 days,,304.42407477770746,311.8007528231592,305.65231690037507,308.58951257699425,8.290596919667985,19.89863827748715
-4,294,297,304.96,345.8,333.8415899321057,,-163.36000000000013,-0.1339192025183631,2005-10-18,2005-10-21,3 days,,304.2874078577328,311.8007528231592,305.3827412399794,308.58951257699425,7.789154186519092,19.89863827748715
-8,295,297,304.0,345.8,332.1215899321057,,-334.4000000000001,-0.13749999999999996,2005-10-19,2005-10-21,2 days,,305.16992628618624,311.8007528231592,305.6843102181631,308.58951257699425,7.389436124346072,19.89863827748715
-16,296,297,309.99,345.8,337.5415899321057,,-572.96,-0.11551985547920895,2005-10-20,2005-10-21,1 days,,304.775941028949,311.8007528231592,305.4584638346937,308.58951257699425,8.23295741623072,19.89863827748715
1,298,362,343.37,439.54,240.40680861256422,,96.17000000000002,0.280076884992865,2005-10-24,2006-01-26,94 days,,319.17060225852737,437.75752051405186,312.2313750699948,438.5712790131206,16.399092184991446,21.557408361965543
-2,362,367,439.54,403.82,532.4931913874358,,71.44000000000005,0.08126677890521916,2006-01-26,2006-02-02,7 days,,437.75752051405186,421.5355331220445,438.5712790131206,430.101938772886,21.557408361965543,20.13908258264567
-4,363,367,435.0,403.82,533.7631913874358,,124.72000000000003,0.07167816091954027,2006-01-27,2006-02-02,6 days,,436.9040164112415,421.5355331220445,438.10934455738237,430.101938772886,17.451605574643697,20.13908258264567
-8,364,367,429.23,403.82,532.9831913874358,,203.2800000000002,0.05919903082263589,2006-01-30,2006-02-02,3 days,,434.8872131289932,421.5355331220445,437.08304050671126,430.101938772886,14.464403716429134,20.13908258264567
-1,368,406,393.62,389.19,496.7354129132284,,4.430000000000007,0.011254509425334125,2006-02-03,2006-03-30,55 days,,413.5384264976356,369.7350439511728,425.6881261571691,363.651748800453,21.249388388430457,13.466702987822506
1,407,432,388.74,395.11,321.10648506088745,,6.3700000000000045,0.016386273601893375,2006-03-31,2006-05-08,38 days,,373.78803516093825,401.64957474410045,366.0470443640482,403.17307260392954,11.591135325215015,9.106422983923402
-2,432,456,395.11,388.34,461.63351493911256,,13.540000000000077,0.017134468882083587,2006-05-08,2006-06-12,35 days,,401.64957474410045,383.7227674753633,403.17307260392954,383.93014993245015,9.106422983923402,10.799368799069242
-4,433,456,395.7,388.34,462.1135149391125,,29.440000000000055,0.018599949456659104,2006-05-09,2006-06-12,34 days,,403.07965979528035,383.7227674753633,403.6846114581178,383.93014993245015,11.154281989282268,10.799368799069242
-8,434,456,408.31,388.34,476.13351493911256,,159.76000000000022,0.04890891724425073,2006-05-10,2006-06-12,33 days,,403.0597278362243,383.7227674753633,403.62055587101617,383.93014993245015,10.719521326188167,10.799368799069242
2,456,457,388.34,380.9,319.23648506088745,,-14.879999999999995,-0.019158469382499876,2006-06-12,2006-06-13,1 days,,383.7227674753633,384.28221398029063,383.93014993245015,384.1655908476819,10.799368799069242,10.159579199379493
1,458,484,389.83,386.14,335.7221040031025,,-3.6899999999999977,-0.00946566452043196,2006-06-14,2006-07-21,37 days,,384.3037711842325,401.18521770093,384.18599167971087,403.97419646798596,10.966386132919675,13.292519686857398
